ID_ISIN,Bloomberg,Yahoo,Industry
JE00B8KF9B49,WPP LN Equity,WPP.L,Advertising
FR0000130577,PUB FP Equity,PUB.PA,Advertising
GB0002634946,BA/ LN Equity,BA.L,Aerospace/Defense
GB00B63H8491,RR/ LN Equity,RR.L,Aerospace/Defense
GB0005758098,MGGT LN Equity,MGGT.L,Aerospace/Defense
GB00B07KD360,COB LN Equity,COB.L,Aerospace/Defense
GB0009123323,ULE LN Equity,ULE.L,Aerospace/Defense
FR0000073272,SAF FP Equity,SAF.PA,Aerospace/Defense
NL0000235190,AIR FP Equity,AIR.PA,Aerospace/Defense
US0970231058,BA UN Equity,BA,Aerospace/Defense
US3695501086,GD UN Equity,GD,Aerospace/Defense
US5398301094,LMT UN Equity,LMT,Aerospace/Defense
US7551115071,RTN UN Equity,RTN,Aerospace/Defense
US9130171096,UTX UN Equity,UTX,Aerospace/Defense
GB0002875804,BATS LN Equity,BATS.L,Agriculture
GB0004544929,IMB LN Equity,HTG.L,Agriculture
GB0002074580,GNS LN Equity,GNS.L,Agriculture
US02209S1033,MO UN Equity,MO,Agriculture
US7181721090,PM UN Equity,PM,Agriculture
SE0000310336,SWMA SS Equity,SWMA.ST,Agriculture
ES0177542018,IAG LN Equity,IAG.MC,Airlines
GB00B7KR2P84,EZJ LN Equity,EZJ.L,Airlines
JE00BN574F90,WIZZ LN Equity,WIZZ.L,Airlines
DE0008232125,LHA GY Equity,LHA.DE,Airlines
ES0177542018,IAG SM Equity,IAG.MC,Airlines
US02376R1023,AAL UW Equity,AAL,Airlines
NO0010196140,NAS NO Equity,NAS.OL,Airlines
GG00BBHXCL35,RSE LN Equity,RSE.L,Alternative Fund
GB0031743007,BRBY LN Equity,BRBY.L,Apparel
GB0001048619,TED LN Equity,TED.L,Apparel
FR0000121014,MC FP Equity,MC.PA,Apparel
DE000A1EWWW0,ADS GY Equity,ADS.DE,Apparel
US6541061031,NKE UN Equity,NKE,Apparel
US23129S1069,FXB US,FXB,Asset Allocation Fund
US23130C1080,FXE US,FXE,Asset Allocation Fund
US23130A1025,FXY US,FXY,Asset Allocation Fund
FR0000121501,UG FP Equity,UG.PA,Auto Manufacturers
FR0000131906,RNO FP Equity,RNO.PA,Auto Manufacturers
DE0005190003,BMW GY Equity,BMW.DE,Auto Manufacturers
DE0007664039,VOW3 GY Equity,VOW3.DE,Auto Manufacturers
DE0007100000,DAI GY Equity,DAI.DE,Auto Manufacturers
US3453708600,F UN Equity,F,Auto Manufacturers
US37045V1008,GM UN Equity,GM,Auto Manufacturers
US6937181088,PCAR UW Equity,PCAR,Auto Manufacturers
US88160R1014,TSLA UW Equity,TSLA,Auto Manufacturers
SE0000115446,VOLVB SS Equity,VOLV-B.ST,Auto Manufacturers
GB0030646508,GKN LN Equity,GKN.L,Auto Parts&Equipment
FR0000121261,ML FP Equity,ML.PA,Auto Parts&Equipment
FR0000130338,FR FP Equity,FR.PA,Auto Parts&Equipment
DE0005439004,CON GY Equity,CON.DE,Auto Parts&Equipment
FI0009005318,NRE1V FH Equity,NRE1V.HE,Auto Parts&Equipment
FR0013176526,FR FP Equity,FR.PA,Auto Parts&Equipment
SE0000382335,ALIV SS Equity,ALIV.ST,Auto Parts&Equipment
GB0005405286,HSBA LN Equity,HSBA.L,Banks
GB0008706128,LLOY LN Equity,LLOY.L,Banks
GB0031348658,BARC LN Equity,BARC.L,Banks
GB0004082847,STAN LN Equity,STAN.L,Banks
GB00B7T77214,RBS LN Equity,RBS.L,Banks
GB00B17BBQ50,INVP LN Equity,INVP.L,Banks
GB00BQ8P0644,VM/ LN Equity,VM.L,Banks
GB00B759CR16,BGEO LN Equity,BGEO.L,Banks
GB00BWDPMF43,SHAW LN Equity,SHAW.L,Banks
GB00BM7S7K96,OSB LN Equity,OSB.L,Banks
FR0000131104,BNP FP Equity,BNP.PA,Banks
FR0000130809,GLE FP Equity,GLE.PA,Banks
FR0000045072,ACA FP Equity,ACA.PA,Banks
DE000CBK1001,CBK GY Equity,CBK.DE,Banks
DE0005140008,DBK GY Equity,DBK.DE,Banks
NL0000303600,INGA NA Equity,INGA.AS,Banks
NL0011540547,ABN NA Equity,ABN.AS,Banks
ES0113900J37,SAN SM Equity,SAN.MC,Banks
ES0113211835,BBVA SM Equity,BBVA.MC,Banks
ES0140609019,CABK SM Equity,CABK.MC,Banks
ES0113860A34,SAB SM Equity,SAB.MC,Banks
ES0113679I37,BKT SM Equity,BKT.MC,Banks
ES0113307021,BKIA SM Equity,BKIA.MC,Banks
ES0113790226,POP SM Equity,POP.MC,Banks
US0605051046,BAC UN Equity,BAC,Banks
US0640581007,BK UN Equity,BK,Banks
US1729674242,C UN Equity,C,Banks
US14040H1059,COF UN Equity,COF,Banks
DK0010274414,DANSKE DC Equity,DANSKE.CO,Banks
