ID_ISIN,Bloomberg,Yahoo,Industry
JE00B8KF9B49,WPP LN Equity,WPP.L,Advertising
FR0000130577,PUB FP Equity,PUB.PA,Advertising
GB0002634946,BA/ LN Equity,BA.L,Aerospace/Defense
GB00B63H8491,RR/ LN Equity,RR.L,Aerospace/Defense
GB0005758098,MGGT LN Equity,MGGT.L,Aerospace/Defense
GB00B07KD360,COB LN Equity,COB.L,Aerospace/Defense
GB0009123323,ULE LN Equity,ULE.L,Aerospace/Defense
FR0000073272,SAF FP Equity,SAF.PA,Aerospace/Defense
NL0000235190,AIR FP Equity,AIR.PA,Aerospace/Defense
GB0002875804,BATS LN Equity,BATS.L,Agriculture
GB0004544929,IMB LN Equity,HTG.L,Agriculture
GB0002074580,GNS LN Equity,GNS.L,Agriculture
ES0177542018,IAG LN Equity,IAG.MC,Airlines
GB00B7KR2P84,EZJ LN Equity,EZJ.L,Airlines
JE00BN574F90,WIZZ LN Equity,WIZZ.L,Airlines
DE0008232125,LHA GY Equity,LHA.DE,Airlines
ES0177542018,IAG SM Equity,IAG.MC,Airlines
GG00BBHXCL35,RSE LN Equity,RSE.L,Alternative Fund
GB0031743007,BRBY LN Equity,BRBY.L,Apparel
GB0001048619,TED LN Equity,TED.L,Apparel
FR0000121014,MC FP Equity,MC.PA,Apparel
DE000A1EWWW0,ADS GY Equity,ADS.DE,Apparel
FR0000121501,UG FP Equity,UG.PA,Auto Manufacturers
FR0000131906,RNO FP Equity,RNO.PA,Auto Manufacturers
DE0005190003,BMW GY Equity,BMW.DE,Auto Manufacturers
DE0007664039,VOW3 GY Equity,VOW3.DE,Auto Manufacturers
DE0007100000,DAI GY Equity,DAI.DE,Auto Manufacturers
GB0030646508,GKN LN Equity,GKN.L,Auto Parts&Equipment
FR0000121261,ML FP Equity,ML.PA,Auto Parts&Equipment
FR0000130338,FR FP Equity,FR.PA,Auto Parts&Equipment
DE0005439004,CON GY Equity,CON.DE,Auto Parts&Equipment
GB0005405286,HSBA LN Equity,HSBA.L,Banks
GB0008706128,LLOY LN Equity,LLOY.L,Banks
GB0031348658,BARC LN Equity,BARC.L,Banks
GB0004082847,STAN LN Equity,STAN.L,Banks
GB00B7T77214,RBS LN Equity,RBS.L,Banks
GB00B17BBQ50,INVP LN Equity,INVP.L,Banks
GB00BQ8P0644,VM/ LN Equity,VM.L,Banks
GB00B759CR16,BGEO LN Equity,BGEO.L,Banks
GB00BWDPMF43,SHAW LN Equity,SHAW.L,Banks
GB00BM7S7K96,OSB LN Equity,OSB.L,Banks
FR0000131104,BNP FP Equity,BNP.PA,Banks
FR0000130809,GLE FP Equity,GLE.PA,Banks
FR0000045072,ACA FP Equity,ACA.PA,Banks
DE000CBK1001,CBK GY Equity,CBK.DE,Banks
DE0005140008,DBK GY Equity,DBK.DE,Banks
NL0000303600,INGA NA Equity,INGA.AS,Banks
NL0011540547,ABN NA Equity,ABN.AS,Banks
ES0113900J37,SAN SM Equity,SAN.MC,Banks
ES0113211835,BBVA SM Equity,BBVA.MC,Banks
ES0140609019,CABK SM Equity,CABK.MC,Banks
ES0113860A34,SAB SM Equity,SAB.MC,Banks
ES0113679I37,BKT SM Equity,BKT.MC,Banks
ES0113307021,BKIA SM Equity,BKIA.MC,Banks
ES0113790226,POP SM Equity,POP.MC,Banks
GB0002374006,DGE LN Equity,DGE.L,Beverages
GB0004835483,SAB LN Equity,SAB.L,Beverages
CH0198251305,CCH LN Equity,CCH.L,Beverages
GB00B0N8QD54,BVIC LN Equity,BVIC.L,Beverages
GB00B1JQDM80,MARS LN Equity,MARS.L,Beverages
GB00B6XZKY75,BAG LN Equity,BAG.L,Beverages
FR0000120693,RI FP Equity,RI.PA,Beverages
NL0000009165,HEIA NA Equity,HEIA.AS,Beverages
GB00BJVD3B28,CIR LN Equity,CIR.L,Biotechnology
IE0001827041,CRH LN Equity,CRH.L,Building Materials
GB00B012BV22,MSLH LN Equity,MSLH.L,Building Materials
GB00BKRC5K31,PLP LN Equity,PLP.L,Building Materials
GB00BYXJC278,IBST LN Equity,IBST.L,Building Materials
FR0000125007,SGO FP Equity,SGO.PA,Building Materials
CH0012214059,LHN FP Equity,LHN.PA,Building Materials
DE0006047004,HEI GY Equity,HEI.DE,Building Materials
GB00BZ4BQC70,JMAT LN Equity,JMAT.L,Chemicals
GB00BYZWX769,CRDA LN Equity,CRDA.L,Chemicals
GB00B0744359,ESNT LN Equity,ESNT.L,Chemicals
GB0009292243,VCT LN Equity,VCT.L,Chemicals
GB0002418548,ELM LN Equity,ELM.L,Chemicals
GB0009887422,SYNT LN Equity,SYNT.L,Chemicals
FR0000120073,AI FP Equity,AI.PA,Chemicals
BE0003470755,SOLB BB Equity,SOLB.BR,Chemicals
DE000BASF111,BAS GY Equity,BAS.DE,Chemicals
