Bloomberg Code,Yahoo Code
ATCOB SS Equity,ATCO-B.ST
KINVB SS Equity,KINV-B.ST
BOL SS Equity,BOL.ST
NDA SS Equity,NDA.ST
CARLB DC Equity,CARL-B.CO
COLOB DC Equity,COLO-B.CO
GN DC Equity,GN.CO
TDC DC Equity,TDC.CO
CHR DC Equity,CHR.CO
WDH DC Equity,WDH.CO
ISS DC Equity,ISS.CO
DSV DC Equity,DSV.CO
NZYMB DC Equity,NZYM-B.CO
JYSK DC Equity,JYSK.CO
NOVOB DC Equity,NOVO-B.CO
FLS DC Equity,FLS.CO
TRYG DC Equity,TRYG.CO
PNDORA DC Equity,PNDORA.CO
MAERSKA DC Equity,MAERSK-A.CO
GEN DC Equity,GEN.CO
DANSKE DC Equity,DANSKE.CO
VWS DC Equity,VWS.CO
MAERSKB DC Equity,MAERSK-B.CO
STL NO Equity,STL.OL
TEL NO Equity,TEL.OL
DNB NO Equity,DNB.OL
YAR NO Equity,YAR.OL
ORK NO Equity,ORK.OL
NHY NO Equity,NHY.OL
RCL NO Equity,RCL.OL
MHG NO Equity,MHG.OL
GJF NO Equity,GJF.OL
SCHA NO Equity,SCHA.OL
SUBC NO Equity,SUBC.OL
TGS NO Equity,TGS.OL
STB NO Equity,STB.OL
SDRL NO Equity,SDRL.OL
NAS NO Equity,NAS.OL
NOD NO Equity,NOD.OL
PGS NO Equity,PGS.OL
OPERA NO Equity,OPERA.OL
DNO NO Equity,DNO.OL
DETNOR NO Equity,DETNOR.OL
AKSO NO Equity,AKSO.OL
BWLPG NO Equity,BWLPG.OL
REC NO Equity,REC.OL
FOE NO Equity,FOE.OL
FRO NO Equity,FRO.OL
CGCBV FH Equity,CGCBV.HE
TLS1V FH Equity,TLS1V.HE
VALMT FH Equity,VALMT.HE
NDA1V FH Equity,NDA1V.HE
OTE1V FH Equity,OTE1V.HE
AMEAS FH Equity,AMEAS.HE
WRT1V FH Equity,WRT1V.HE
ELI1V FH Equity,ELI1V.HE
NRE1V FH Equity,NRE1V.HE
KCR1V FH Equity,KCR1V.HE
ORNBV FH Equity,ORNBV.HE
KNEBV FH Equity,KNEBV.HE
KESBV FH Equity,KESBV.HE
OUT1V FH Equity,OUT1V.HE
SAMAS FH Equity,SAMAS.HE
MEO1V FH Equity,MEO1V.HE
FUM1V FH Equity,FUM1V.HE
NOKIA FH Equity,NOKIA.HE
STERV FH Equity,STERV.HE
HUH1V FH Equity,HUH1V.HE
NESTE FH Equity,NESTE.HE
KRA1V FH Equity,KRA1V.HE
TIE1V FH Equity,TIE1V.HE
UPM1V FH Equity,UPM1V.HE
YTY1V FH Equity,YTY1V.HE
KPN NA Equity,KPN.AS
AGN NA Equity,AGN.AS
ASML NA Equity,ASML.AS
PHIA NA Equity,PHIA.AS
NN NA Equity,NN.AS
DL NA Equity,DL.AS
REN NA Equity,REN.AS
WKL NA Equity,WKL.AS
AH NA Equity,AH.AS
RDSA NA Equity,RDSA.AS
UNA NA Equity,UNA.AS
DSM NA Equity,DSM.AS
GTO NA Equity,GTO.AS
INGA NA Equity,INGA.AS
BOKA NA Equity,BOKA.AS
RAND NA Equity,RAND.AS
ATC NA Equity,ATC.AS
AALB NA Equity,AALB.AS
VPK NA Equity,VPK.AS
AKZA NA Equity,AKZA.AS
HEIA NA Equity,HEIA.AS
TNTE NA Equity,TNTE.AS
UL NA Equity,UL.AS
OCI NA Equity,OCI.AS
BEFB BB Equity,BEFB.BR
BPOST BB Equity,BPOST.BR
KBC BB Equity,KBC.BR
UMI BB Equity,UMI.BR
SOLB BB Equity,SOLB.BR
AGS BB Equity,AGS.BR
BEKB BB Equity,BEKB.BR
TNET BB Equity,TNET.BR
GBLB BB Equity,GBLB.BR
COLR BB Equity,COLR.BR
ENGI FP Equity,ENGI.PA
DIE BB Equity,DIE.BR
ABI BB Equity,ABI.BR
PROX BB Equity,PROX.BR
ELI BB Equity,ELI.BR
DELB BB Equity,DELB.BR
ACKB BB Equity,ACKB.BR
UCB BB Equity,UCB.BR
COFB BB Equity,COFB.BR
ABBN VX Equity,ABBN.VX
GIVN VX Equity,GIVN.VX
SYNN VX Equity,SYNN.VX
UHR VX Equity,UHR.VX
CFR VX Equity,CFR.VX
SCMN VX Equity,SCMN.VX
SGSN VX Equity,SGSN.VX
ATLN VX Equity,ATLN.VX
LHN VX Equity,LHN.VX
ADEN VX Equity,ADEN.VX
NESN VX Equity,NESN.VX
GEBN VX Equity,GEBN.VX
ROG VX Equity,ROG.VX
IPR PL Equity,IPR.LS
CTT PL Equity,CTT.LS
ALTR PL Equity,ALTR.LS
SEM PL Equity,SEM.LS
TDSA PL Equity,TDSA.LS
JMT PL Equity,JMT.LS
BANIF PL Equity,BANIF.LS
SON PL Equity,SON.LS
RENE PL Equity,RENE.LS
NOS PL Equity,NOS.LS
EDP PL Equity,EDP.LS
BCP PL Equity,BCP.LS
GALP PL Equity,GALP.LS
BPI PL Equity,BPI.LS
PHR PL Equity,PHR.LS
EGL PL Equity,EGL.LS
EDPR PL Equity,EDPR.LS
PTI PL Equity,PTI.LS
OXY UN Equity,OXY
AXP UN Equity,AXP
MDLZ UW Equity,MDLZ
VZ UN Equity,VZ
BA UN Equity,BA
CAT UN Equity,CAT
JPM UN Equity,JPM
CVX UN Equity,CVX
PEP UN Equity,PEP
KO UN Equity,KO
EXC UN Equity,EXC
DIS UN Equity,DIS
COP UN Equity,COP
DD UN Equity,DD
XOM UN Equity,XOM
GE UN Equity,GE
HPQ UN Equity,HPQ
AMZN UW Equity,AMZN
HD UN Equity,HD
IBM UN Equity,IBM
JNJ UN Equity,JNJ
MCD UN Equity,MCD
MRK UN Equity,MRK
MMM UN Equity,MMM
BAC UN Equity,BAC
RTN UN Equity,RTN
PFE UN Equity,PFE
GOOG UW Equity,GOOG
ACN UN Equity,ACN
PG UN Equity,PG
T UN Equity,T
UTX UN Equity,UTX
WMT UN Equity,WMT
CSCO UW Equity,CSCO
SLB UN Equity,SLB
INTC UW Equity,INTC
MSFT UW Equity,MSFT
C UN Equity,C
SO UN Equity,SO
AIG UN Equity,AIG
HON UN Equity,HON
MO UN Equity,MO
GS UN Equity,GS
ABT UN Equity,ABT
PCLN UW Equity,PCLN
TXN UW Equity,TXN
DVN UN Equity,DVN
GOOGL UW Equity,GOOGL
APC UN Equity,APC
UNP UN Equity,UNP
UNH UN Equity,UNH
PM UN Equity,PM
BK UN Equity,BK
WBA UW Equity,WBA
MET UN Equity,MET
MON UN Equity,MON
BRK/B UN Equity,BRK/B
BMY UN Equity,BMY
AMGN UW Equity,AMGN
AAPL UW Equity,AAPL
CMCSA UW Equity,CMCSA
MA UN Equity,MA
ORCL UN Equity,ORCL
CL UN Equity,CL
ABBV UN Equity,ABBV
COST UW Equity,COST
TWX UN Equity,TWX
TGT UN Equity,TGT
CELG UW Equity,CELG
DOW UN Equity,DOW
EMC UN Equity,EMC
EMR UN Equity,EMR
GM UN Equity,GM
KMI UN Equity,KMI
V UN Equity,V
FB UW Equity,FB
FDX UN Equity,FDX
GILD UW Equity,GILD
F UN Equity,F
BIIB UW Equity,BIIB
GD UN Equity,GD
PYPL UW Equity,PYPL
HAL UN Equity,HAL
QCOM UW Equity,QCOM
SBUX UW Equity,SBUX
USB UN Equity,USB
AGN UN Equity,AGN
MS UN Equity,MS
