ID_ISIN,Bloomberg,Yahoo,Industry
DK0010268606,VWS DC Equity,VWS.CO,Energy-Alternate Sources
GB00B1FP8915,BBA LN Equity,BBA.L,Engineering&Construction
GB0000961622,BBY LN Equity,BBY.L,Engineering&Construction
GB0007365546,CLLN LN Equity,CLLN.L,Engineering&Construction
GB0004915632,KIE LN Equity,KIE.L,Engineering&Construction
GB00BYYTFB60,HSV LN Equity,HSV.L,Engineering&Construction
GB0004866223,KLR LN Equity,KLR.L,Engineering&Construction
FR0000125486,DG FP Equity,DG.PA,Engineering&Construction
FR0000120503,EN FP Equity,EN.PA,Engineering&Construction
NL0000852580,BOKA NA Equity,BOKA.AS,Engineering&Construction
ES0118900010,FER SM Equity,FER.MC,Engineering&Construction
ES0105046009,AENA SM Equity,AENA.MC,Engineering&Construction
ES0167050915,ACS SM Equity,ACS.MC,Engineering&Construction
ES0125220311,ANA SM Equity,ANA.MC,Engineering&Construction
ES0122060314,FCC SM Equity,FCC.MC,Engineering&Construction
ES0178165017,TRE SM Equity,TRE.MC,Engineering&Construction
ES0142090317,OHL SM Equity,OHL.MC,Engineering&Construction
ES0182870214,SCYR SM Equity,SCYR.MC,Engineering&Construction
US78388J1060,SBAC UW Equity,SBAC,Engineering&Construction
SE0000113250,SKAB SS Equity,SKAB.ST,Engineering&Construction
IE00BWT6H894,PPB LN Equity,GFTU.L,Entertainment
GB00BDZT6P94,MERL LN Equity,MERL.L,Entertainment
GB0031698896,WMH LN Equity,WMH.L,Entertainment
GB00B0ZSH635,LAD LN Equity,LAD.L,Entertainment
GB00B15FWH70,CINE LN Equity,CINE.L,Entertainment
GB00B1L5QH97,RNK LN Equity,RNK.L,Entertainment
IM00B5VQMV65,GVC LN Equity,GVC.L,Entertainment
US8589121081,SRCL UW Equity,SRCL,Environmental Control
US78462F1030,SPY US,SPY,Equity Fund
US78467X1090,DIA US,DIA,Equity Fund
US73935A1043,QQQ US,QQQ,Equity Fund
US4642875078,IJH US,IJH,Equity Fund
US4642878049,IJR US,IJR,Equity Fund
US4642876225,IWB US,IWB,Equity Fund
US4642876555,IWM US,IWM,Equity Fund
US4642876894,IWV US,IWV,Equity Fund
US4642873099,IVW US,IVW,Equity Fund
US4642876068,IJK US,IJK,Equity Fund
US4642878874,IJT US,IJT,Equity Fund
US4642874089,IVE US,IVE,Equity Fund
US4642877058,IJJ US,IJJ,Equity Fund
US4642871689,DVY US,DVY,Equity Fund
US78355W1062,RSP US,RSP,Equity Fund
US81369Y4070,XLY US,XLY,Equity Fund
US81369Y3080,XLP US,XLP,Equity Fund
US81369Y5069,XLE US,XLE,Equity Fund
US81369Y6059,XLF US,XLF,Equity Fund
US81369Y2090,XLV US,XLV,Equity Fund
US81369Y7040,XLI US,XLI,Equity Fund
US81369Y1001,XLB US,XLB,Equity Fund
US81369Y8030,XLK US,XLK,Equity Fund
US4642877132,IYZ US,IYZ,Equity Fund
US81369Y8865,XLU US,XLU,Equity Fund
US4642861037,EWA US,EWA,Equity Fund
US4642864007,EWZ US,EWZ,Equity Fund
US4642865095,EWC US,EWC,Equity Fund
US4642871846,FXI US,FXI,Equity Fund
US4642867075,EWQ US,EWQ,Equity Fund
US4642868065,EWG US,EWG,Equity Fund
US4642868719,EWH US,EWH,Equity Fund
US06739F2911,INP US,INP,Equity Fund
US46434G8309,EWI US,EWI,Equity Fund
US46434G8226,EWJ US,EWJ,Equity Fund
US4642868222,EWW US,EWW,Equity Fund
US4642867646,EWP US,EWP,Equity Fund
US92189F4037,RSX US,RSX,Equity Fund
