ID_ISIN,Bloomberg,Yahoo,Industry
US02376R1023,AAL UW Equity,AAL,Airlines
US0378331005,AAPL UW Equity,AAPL,Computers
CH0012221716,ABB SS Equity,ABBN.VX,Machinery-Constr&Mining
US00287Y1091,ABBV UN Equity,ABBV,Pharmaceuticals
BE0003793107,ABI BB Equity,ABI.BR,Beverages
US0028241000,ABT UN Equity,ABT,Healthcare-Products
IE00B4BNMY34,ACN UN Equity,ACN,Computers
US00724F1012,ADBE UW Equity,ADBE,Software
CH0012138605,ADEN VX Equity,ADEN.VX,Commercial Services
US0326541051,ADI UW Equity,ADI,Semiconductors
US0530151036,ADP UW Equity,ADP,Commercial Services
US0527691069,ADSK UW Equity,ADSK,Software
IE00BY9D5467,AGN UN Equity,AGN,Pharmaceuticals
US0268747849,AIG UN Equity,AIG,Insurance
US00971T1016,AKAM UW Equity,AKAM,Software
US0200021014,ALL UN Equity,ALL,Insurance
US0153511094,ALXN UW Equity,ALXN,Biotechnology
US0382221051,AMAT UW Equity,AMAT,Semiconductors
FI0009000285,AMEAS FH Equity,AMEAS.HE,Leisure Time
US0311621009,AMGN UW Equity,AMGN,Biotechnology
US0231351067,AMZN UW Equity,AMZN,Internet
NL0010273215,ASML NA Equity,ASML.AS,Semiconductors
SE0006886768,ATCOB SS Equity,ATCO-B.ST,Machinery-Constr&Mining
CH0010532478,ATLN VX Equity,ATLN.VX,Pharmaceuticals
US00507V1098,ATVI UW Equity,ATVI,Software
SG9999014823,AVGO UW Equity,AVGO,Semiconductors
US0258161092,AXP UN Equity,AXP,Diversified Finan Serv
US0970231058,BA UN Equity,BA,Aerospace/Defense
US0605051046,BAC UN Equity,BAC,Banks
US0758961009,BBBY UW Equity,BBBY,Retail
US0567521085,BIDU UW Equity,BIDU,Internet
US09062X1037,BIIB UW Equity,BIIB,Biotechnology
US0640581007,BK UN Equity,BK,Banks
US09061G1013,BMRN UW Equity,BMRN,Biotechnology
US1101221083,BMY UN Equity,BMY,Pharmaceuticals
SE0000869646,BOL SS Equity,BOL.ST,Mining
US0846707026,BRK/B UN Equity,BRK/B,Insurance
BMG173841013,BWLPG NO Equity,BWLPG.OL,Transportation
US1729674242,C UN Equity,C,Banks
US12673P1057,CA UW Equity,CA,Software
DK0010181759,CARLB DC Equity,CARL-B.CO,Beverages
US1491231015,CAT UN Equity,CAT,Machinery-Constr&Mining
US1510201049,CELG UW Equity,CELG,Biotechnology
US1567821046,CERN UW Equity,CERN,Software
CH0210483332,CFR VX Equity,CFR.VX,Retail
FI0009013429,CGCBV FH Equity,CGCBV.HE,Transportation
IL0010824113,CHKP UW Equity,CHKP,Software
DK0060227585,CHR DC Equity,CHR.CO,Food
US16119P1084,CHTR UW Equity,CHTR,Media
US1941621039,CL UN Equity,CL,Cosmetics/Personal Care
US20030N1019,CMCSA UW Equity,CMCSA,Media
US14040H1059,COF UN Equity,COF,Banks
DK0060448595,COLOB DC Equity,COLO-B.CO,Healthcare-Products
US20825C1045,COP UN Equity,COP,Oil&Gas
