ID_ISIN,Bloomberg,Yahoo,Industry
GB00B1WY2338,SMIN LN Equity,SMIN.L,Miscellaneous Manufactur
GB00BGLP8L22,IMI LN Equity,IMI.L,Miscellaneous Manufactur
GB00B82YXW83,VSVS LN Equity,VSVS.L,Miscellaneous Manufactur
GB0007958233,SNR LN Equity,SNR.L,Miscellaneous Manufactur
GB0006027295,MGAM LN Equity,MGAM.L,Miscellaneous Manufactur
DE0007236101,SIE GY Equity,SIE.DE,Miscellaneous Manufactur
NL0000852564,AALB NA Equity,AALB.AS,Miscellaneous Manufactur
US3696041033,GE UN Equity,GE,Miscellaneous Manufactur
US88579Y1010,MMM UN Equity,MMM,Miscellaneous Manufactur
FI0009003727,WRT1V FH Equity,WRT1V.HE,Miscellaneous Manufactur
SE0000695876,ALFA SS Equity,ALFA.ST,Miscellaneous Manufactur
GB0004270301,HILS LN Equity,HILS.L,Miscellaneous Manufactur
GB00B03MLX29,RDSA LN Equity,RDSA.L,Oil&Gas
GB0007980591,BP/ LN Equity,BP.L,Oil&Gas
GB00B03MM408,RDSB LN Equity,RDSB.L,Oil&Gas
IE0002424939,DCC LN Equity,DCC.L,Oil&Gas
GB0001500809,TLW LN Equity,TLW.L,Oil&Gas
GB00B74CDH82,CNE LN Equity,CNE.L,Oil&Gas
GB00B24CT194,OPHR LN Equity,OPHR.L,Oil&Gas
FR0000120271,FP FP Equity,FP.PA,Oil&Gas
GB00B03MLX29,RDSA NA Equity,RDSA.AS,Oil&Gas
ES0173516115,REP SM Equity,REP.MC,Oil&Gas
US20825C1045,COP UN Equity,COP,Oil&Gas
US1667641005,CVX UN Equity,CVX,Oil&Gas
NO0010345853,DETNOR NO Equity,DETNOR.OL,Oil&Gas
NO0003921009,DNO NO Equity,DNO.OL,Oil&Gas
FI0009013296,NESTE FH Equity,NESTE.HE,Oil&Gas
US6745991058,OXY UN Equity,OXY,Oil&Gas
BMG7945E1057,SDRL NO Equity,SDRL.OL,Oil&Gas
NO0010096985,STL NO Equity,STL.OL,Oil&Gas
US30231G1022,XOM UN Equity,XOM,Oil&Gas
IT0003132476,ENI IM Equity,ENI.MI,Oil&Gas
SE0000825820,LUPE SS Equity,LUPE.ST,Oil&Gas
GB00BGP6Q951,NOG LN Equity,NOG.L,Oil&Gas
GB00B5N0P849,WG/ LN Equity,WG.L,Oil&Gas Services
GB00B0H2K534,PFC LN Equity,PFC.L,Oil&Gas Services
GB0000282623,AMFW LN Equity,AMFW.L,Oil&Gas Services
FR0000131708,TEC FP Equity,TEC.PA,Oil&Gas Services
NL0000360618,SBMO NA Equity,SBMO.AS,Oil&Gas Services
US4062161017,HAL UN Equity,HAL,Oil&Gas Services
NO0010199151,PGS NO Equity,PGS.OL,Oil&Gas Services
AN8068571086,SLB UN Equity,SLB,Oil&Gas Services
LU0075646355,SUBC NO Equity,SUBC.OL,Oil&Gas Services
NO0003078800,TGS NO Equity,TGS.OL,Oil&Gas Services
GB0004478896,HTG LN Equity,HTG.L,Oil&Gas Services
NO0010716582,AKSO NO Equity,AKSO.OL,Oil&Gas Services
GB0007197378,RPC LN Equity,RPC.L,Packaging&Containers
FI0009000459,HUH1V FH Equity,HUH1V.HE,Packaging&Containers
GB0009252882,GSK LN Equity,GSK.L,Pharmaceuticals
GB0009895292,AZN LN Equity,AZN.L,Pharmaceuticals
JE00B2QKY057,SHP LN Equity,SHP.L,Pharmaceuticals
GB00B0LCW083,HIK LN Equity,HIK.L,Pharmaceuticals
GB0001001592,BTG LN Equity,BTG.L,Pharmaceuticals
GB00BRS65X63,INDV LN Equity,INDV.L,Pharmaceuticals
GB0009633180,DPH LN Equity,DPH.L,Pharmaceuticals
GB00B01D1K48,VEC LN Equity,VEC.L,Pharmaceuticals
FR0000120578,SAN FP Equity,SAN.PA,Pharmaceuticals
DE000BAY0017,BAYN GY Equity,BAYN.DE,Pharmaceuticals
DE0006599905,MRK GY Equity,MRK.DE,Pharmaceuticals
ES0171996087,GRF SM Equity,GRF.MC,Pharmaceuticals
US00287Y1091,ABBV UN Equity,ABBV,Pharmaceuticals
IE00BY9D5467,AGN UN Equity,AGN,Pharmaceuticals
CH0010532478,ATLN VX Equity,ATLN.VX,Pharmaceuticals
US1101221083,BMY UN Equity,BMY,Pharmaceuticals
US30219G1085,ESRX UW Equity,ESRX,Pharmaceuticals
US4781601046,JNJ UN Equity,JNJ,Pharmaceuticals
US5324571083,LLY UN Equity,LLY,Pharmaceuticals
US58933Y1055,MRK UN Equity,MRK,Pharmaceuticals
NL0011031208,MYL UW Equity,MYL,Pharmaceuticals
DK0060534915,NOVOB DC Equity,NOVO-B.CO,Pharmaceuticals
FI0009014377,ORNBV FH Equity,ORNBV.HE,Pharmaceuticals
US7170811035,PFE UN Equity,PFE,Pharmaceuticals
CH0012032048,ROG VX Equity,ROG.VX,Pharmaceuticals
IE00BJ3V9050,ENDP UW Equity,ENDP,Pharmaceuticals
CH0012005267,NOVN VX Equity,NOVN.VX,Pharmaceuticals
DK0010287234,LUN DC Equity,LUN.CO,Pharmaceuticals
BE0003818359,GLPG NA Equity,GLPG.AM,Pharmaceuticals
US82481R1068,SHPG UW Equity,SHPG,Pharmaceuticals
NL0009432491,VPK NA Equity,VPK.AS,Pipelines
US49456B1017,KMI UN Equity,KMI,Pipelines
GB00B1YW4409,III LN Equity,III.L,Private Equity
GB0007892358,SVI LN Equity,SVI.L,Private Equity
GB00B128J450,IPO LN Equity,IPO.L,Private Equity
GB00BLRLH124,ALM LN Equity,ALM.L,Private Equity
GB00BYT1DJ19,ICP LN Equity,ICP.L,Private Equity
GB00B62G9D36,CAPC LN Equity,CAPC.L,Real Estate
JE00B3CGFD43,RGU LN Equity,RGU.L,Real Estate
GB0006928617,UTG LN Equity,UTG.L,Real Estate
JE00BJT32513,KWE LN Equity,KWE.L,Real Estate
