Bloomberg,Yahoo,Industry,Name,Curncy,CcyAdj,TickerMultiplier
LYB UN Equity,LYB,Materials,LyondellBasell Industries NV,USD,1,1
AXP UN Equity,AXP,Financials,American Express Co,USD,1,1
VZ UN Equity,VZ,Communication Services,Verizon Communications Inc,USD,1,1
AVGO UW Equity,AVGO,Information Technology,Broadcom Inc,USD,1,1
BA UN Equity,BA,Industrials,Boeing Co/The,USD,1,1
CAT UN Equity,CAT,Industrials,Caterpillar Inc,USD,1,1
JPM UN Equity,JPM,Financials,JPMorgan Chase & Co,USD,1,1
CVX UN Equity,CVX,Energy,Chevron Corp,USD,1,1
KO UN Equity,KO,Consumer Staples,Coca-Cola Co/The,USD,1,1
ABBV UN Equity,ABBV,Health Care,AbbVie Inc,USD,1,1
DIS UN Equity,DIS,Communication Services,Walt Disney Co/The,USD,1,1
FLT UN Equity,FLT,Information Technology,FleetCor Technologies Inc,USD,1,1
EXR UN Equity,EXR,Real Estate,Extra Space Storage Inc,USD,1,1
XOM UN Equity,XOM,Energy,Exxon Mobil Corp,USD,1,1
PSX UN Equity,PSX,Energy,Phillips 66,USD,1,1
GE UN Equity,GE,Industrials,General Electric Co,USD,1,1
HPQ UN Equity,HPQ,Information Technology,HP Inc,USD,1,1
HD UN Equity,HD,Consumer Discretionary,Home Depot Inc/The,USD,1,1
MPWR UW Equity,MPWR,Information Technology,Monolithic Power Systems Inc,USD,1,1
IBM UN Equity,IBM,Information Technology,International Business Machines Corp,USD,1,1
JNJ UN Equity,JNJ,Health Care,Johnson & Johnson,USD,1,1
MCD UN Equity,MCD,Consumer Discretionary,McDonald's Corp,USD,1,1
MRK UN Equity,MRK,Health Care,Merck & Co Inc,USD,1,1
MMM UN Equity,MMM,Industrials,3M Co,USD,1,1
AWK UN Equity,AWK,Utilities,American Water Works Co Inc,USD,1,1
BAC UN Equity,BAC,Financials,Bank of America Corp,USD,1,1
BKR UN Equity,BKR,Energy,Baker Hughes Co,USD,1,1
PFE UN Equity,PFE,Health Care,Pfizer Inc,USD,1,1
PG UN Equity,PG,Consumer Staples,Procter & Gamble Co/The,USD,1,1
T UN Equity,T,Communication Services,AT&T Inc,USD,1,1
TRV UN Equity,TRV,Financials,Travelers Cos Inc/The,USD,1,1
RTX UN Equity,RTX,Industrials,Raytheon Technologies Corp,USD,1,1
ADI UW Equity,ADI,Information Technology,Analog Devices Inc,USD,1,1
WMT UN Equity,WMT,Consumer Staples,Walmart Inc,USD,1,1
CSCO UW Equity,CSCO,Information Technology,Cisco Systems Inc/Delaware,USD,1,1
INTC UW Equity,INTC,Information Technology,Intel Corp,USD,1,1
GM UN Equity,GM,Consumer Discretionary,General Motors Co,USD,1,1
MSFT UW Equity,MSFT,Information Technology,Microsoft Corp,USD,1,1
DG UN Equity,DG,Consumer Discretionary,Dollar General Corp,USD,1,1
CI UN Equity,CI,Health Care,Cigna Corp,USD,1,1
KMI UN Equity,KMI,Energy,Kinder Morgan Inc,USD,1,1
C UN Equity,C,Financials,Citigroup Inc,USD,1,1
AIG UN Equity,AIG,Financials,American International Group Inc,USD,1,1
MO UN Equity,MO,Consumer Staples,Altria Group Inc,USD,1,1
HCA UN Equity,HCA,Health Care,HCA Healthcare Inc,USD,1,1
UAA UN Equity,UAA,Consumer Discretionary,Under Armour Inc,USD,1,1
IP UN Equity,IP,Materials,International Paper Co,USD,1,1
HPE UN Equity,HPE,Information Technology,Hewlett Packard Enterprise Co,USD,1,1
ABT UN Equity,ABT,Health Care,Abbott Laboratories,USD,1,1
AFL UN Equity,AFL,Financials,Aflac Inc,USD,1,1
APD UN Equity,APD,Materials,Air Products and Chemicals Inc,USD,1,1
RCL UN Equity,RCL,Consumer Discretionary,Royal Caribbean Cruises Ltd,USD,1,1
HES UN Equity,HES,Energy,Hess Corp,USD,1,1
ADM UN Equity,ADM,Consumer Staples,Archer-Daniels-Midland Co,USD,1,1
ADP UW Equity,ADP,Information Technology,Automatic Data Processing Inc,USD,1,1
VRSK UW Equity,VRSK,Industrials,Verisk Analytics Inc,USD,1,1
AZO UN Equity,AZO,Consumer Discretionary,AutoZone Inc,USD,1,1
AVY UN Equity,AVY,Materials,Avery Dennison Corp,USD,1,1
ENPH UQ Equity,ENPH,Information Technology,Enphase Energy Inc,USD,1,1
MSCI UN Equity,MSCI,Financials,MSCI Inc,USD,1,1
BLL UN Equity,BLL,Materials,Ball Corp,USD,1,1
CARR UN Equity,CARR,Industrials,Carrier Global Corp,USD,1,1
BK UN Equity,BK,Financials,Bank of New York Mellon Corp/The,USD,1,1
OTIS UN Equity,OTIS,Industrials,Otis Worldwide Corp,USD,1,1
BAX UN Equity,BAX,Health Care,Baxter International Inc,USD,1,1
BDX UN Equity,BDX,Health Care,Becton Dickinson and Co,USD,1,1
BRK/B UN Equity,BRK-B,Financials,Berkshire Hathaway Inc,USD,1,1
BBY UN Equity,BBY,Consumer Discretionary,Best Buy Co Inc,USD,1,1
BSX UN Equity,BSX,Health Care,Boston Scientific Corp,USD,1,1
BMY UN Equity,BMY,Health Care,Bristol-Myers Squibb Co,USD,1,1
FBHS UN Equity,FBHS,Industrials,Fortune Brands Home & Security Inc,USD,1,1
BF/B UN Equity,BF-B,Consumer Staples,Brown-Forman Corp,USD,1,1
COG UN Equity,COG,Energy,Cabot Oil & Gas Corp,USD,1,1
CPB UN Equity,CPB,Consumer Staples,Campbell Soup Co,USD,1,1
KSU UN Equity,KSU,Industrials,Kansas City Southern,USD,1,1
HLT UN Equity,HLT,Consumer Discretionary,Hilton Worldwide Holdings Inc,USD,1,1
CCL UN Equity,CCL,Consumer Discretionary,Carnival Corp,USD,1,1
QRVO UW Equity,QRVO,Information Technology,Qorvo Inc,USD,1,1
LUMN UN Equity,LUMN,Communication Services,Lumen Technologies Inc,USD,1,1
UDR UN Equity,UDR,Real Estate,UDR Inc,USD,1,1
CLX UN Equity,CLX,Consumer Staples,Clorox Co/The,USD,1,1
PAYC UN Equity,PAYC,Information Technology,Paycom Software Inc,USD,1,1
CMS UN Equity,CMS,Utilities,CMS Energy Corp,USD,1,1
NWL UW Equity,NWL,Consumer Discretionary,Newell Brands Inc,USD,1,1
CL UN Equity,CL,Consumer Staples,Colgate-Palmolive Co,USD,1,1
CMA UN Equity,CMA,Financials,Comerica Inc,USD,1,1
IPGP UW Equity,IPGP,Information Technology,IPG Photonics Corp,USD,1,1
CAG UN Equity,CAG,Consumer Staples,Conagra Brands Inc,USD,1,1
ED UN Equity,ED,Utilities,Consolidated Edison Inc,USD,1,1
GLW UN Equity,GLW,Information Technology,Corning Inc,USD,1,1
CMI UN Equity,CMI,Industrials,Cummins Inc,USD,1,1
CZR UW Equity,CZR,Consumer Discretionary,Caesars Entertainment Inc,USD,1,1
DHR UN Equity,DHR,Health Care,Danaher Corp,USD,1,1
TGT UN Equity,TGT,Consumer Discretionary,Target Corp,USD,1,1
DE UN Equity,DE,Industrials,Deere & Co,USD,1,1
D UN Equity,D,Utilities,Dominion Energy Inc,USD,1,1
DOV UN Equity,DOV,Industrials,Dover Corp,USD,1,1
LNT UW Equity,LNT,Utilities,Alliant Energy Corp,USD,1,1
DUK UN Equity,DUK,Utilities,Duke Energy Corp,USD,1,1
REG UW Equity,REG,Real Estate,Regency Centers Corp,USD,1,1
ETN UN Equity,ETN,Industrials,Eaton Corp PLC,USD,1,1
ECL UN Equity,ECL,Materials,Ecolab Inc,USD,1,1
PKI UN Equity,PKI,Health Care,PerkinElmer Inc,USD,1,1
EMR UN Equity,EMR,Industrials,Emerson Electric Co,USD,1,1
EOG UN Equity,EOG,Energy,EOG Resources Inc,USD,1,1
AON UN Equity,AON,Financials,Aon PLC,USD,1,1
ETR UN Equity,ETR,Utilities,Entergy Corp,USD,1,1
EFX UN Equity,EFX,Industrials,Equifax Inc,USD,1,1
IQV UN Equity,IQV,Health Care,IQVIA Holdings Inc,USD,1,1
IT UN Equity,IT,Information Technology,Gartner Inc,USD,1,1
FDX UN Equity,FDX,Industrials,FedEx Corp,USD,1,1
FMC UN Equity,FMC,Materials,FMC Corp,USD,1,1
F UN Equity,F,Consumer Discretionary,Ford Motor Co,USD,1,1
NEE UN Equity,NEE,Utilities,NextEra Energy Inc,USD,1,1
BEN UN Equity,BEN,Financials,Franklin Resources Inc,USD,1,1
FCX UN Equity,FCX,Materials,Freeport-McMoRan Inc,USD,1,1
GPS UN Equity,GPS,Consumer Discretionary,Gap Inc/The,USD,1,1
DXCM UW Equity,DXCM,Health Care,Dexcom Inc,USD,1,1
GD UN Equity,GD,Industrials,General Dynamics Corp,USD,1,1
GIS UN Equity,GIS,Consumer Staples,General Mills Inc,USD,1,1
GPC UN Equity,GPC,Consumer Discretionary,Genuine Parts Co,USD,1,1
ATO UN Equity,ATO,Utilities,Atmos Energy Corp,USD,1,1
GWW UN Equity,GWW,Industrials,WW Grainger Inc,USD,1,1
HAL UN Equity,HAL,Energy,Halliburton Co,USD,1,1
LHX UN Equity,LHX,Industrials,L3Harris Technologies Inc,USD,1,1
PEAK UN Equity,PEAK,Real Estate,Healthpeak Properties Inc,USD,1,1
CTLT UN Equity,CTLT,Health Care,Catalent Inc,USD,1,1
FTV UN Equity,FTV,Industrials,Fortive Corp,USD,1,1
HSY UN Equity,HSY,Consumer Staples,Hershey Co/The,USD,1,1
SYF UN Equity,SYF,Financials,Synchrony Financial,USD,1,1
